,TITLE,PRICE
0,Motorola Moto G04 Grafite 128gb Dual Sim 4gb Ram Tela De 6.6,699
1,Samsung Smart Tv 43  Crystal Uhd 4k 43du8000 2024,849
2,Geladeira frost free Electrolux DFN41 branca com freezer 371L 127V,1.815
3,Notebook Dell Inspiron I15-i120k-a30pf I5 16gb 512 15.6 W11,2.199
4,Loção hidratante Cerave Com Ácido Hialurônico Sem Perfume 473ml,2.699
5,Monitor Gamer 27g2/bk Hero 27 144hz Ips G-sync Cor Preto/vermelho Aoc 100V/240V,3.199
6, Apple iPhone 14 (128 GB) - Amarelo - Distribuidor Autorizado,3.599
7,Smart Tv 50pug7408/78 50 4k Google Tv Uhd Led Philips,3.899
8,Geladeira RE31 Cycle Defrost 240L branca Electrolux 127V,70
9,Console Sony PlayStation 5 Standard Edition 825GB,139
10,Gel De Limpeza Facial Effaclar Concentrado 300g La Roche Posay,950
11,Notebook Samsung Galaxy Book Go NP340XLA-K06BR Snapdragon 4GB 128GB SSD UFS Windows 11 Home,1.499
12,Samsung Galaxy S23 256 GB 5G Preto 8 GB RAM,3.799
13,Smart Tv 43 Britânia Btv43g7pr2csblf Led Fhd Roku 110v/220v,5.499
14,Webcam C920s Pro Full Hd Com Microfone Embutido Logitech Cor Preto,1.999
15,Tablet Samsung Galaxy Tab A9+ 5g 64gb 4gb Ram Grafite,2.399
16,"Aspirador de pó vertical com fio STK14 2 em 1 Hepa 1300W 1,6L Azul escuro 127v",1.869
17,"Notebook Samsung Galaxy Book2, Intel Core I3-1215U, 4GB, 256GB SSD, Windows 11 Home, Tela 15.6"" - NP550XED-KT3BR",2.399
18,Samsung Galaxy A15 Dual SIM 5G 256GB Azul-escuro 8GB RAM ,3.543
19,Smart Tv Samsung 32'' Hd Tizen T4300 Bivolt,5.699
20,Robô Aspirador Wap Robot W90 3 Modos De Limpeza Fw009026,65
21,Creatina Monohidratada 600g 100% Pura Soldiers Nutrition,138
22,Darrow Actine gel de limpieza facial com vitamina C 400gr,1.499
23,Samsung Galaxy A15 4G Dual SIM 128 GB Azul claro 4 GB RAM,2.498
24,Smart Tv LG 50 Led 4k Uhd Wi-fi Bluetooth Hdr10 50ur871c0sa,2.903
25,Microondas Electrolux 31 Litros Capacidade Prata Mi41s 110V,6.499
26,Purificador De Agua Consul Cpb34as Bivolt Branco 127V/220V,1.282
27,"Notebook Acer Aspire 5 A515-57-55b8 Intel Core I5 8gb 256gb SSD 15,6'' W11",2.131
28,Samsung Galaxy A14 5g 128gb 4gb Ram Preto,340
29,Tv Smart LG Led 43 4k Al Thinq 43ur781c Wi-fi Bluetooth Alexa 100v/240v,549
30,Electrolux Micro-ondas  MTO30 Branco,1.286
31,Tablet Samsung Galaxy Tab A9 Enterprise Edition Android 8.7 Cor Cinza,1.999
32,Impressora Multifuncional Hp Smart Tank 581 4A8D5A Cor Preto 110V/220V,169
33,Protetor Anthelios Airlicium Sem Cor Fps 80 Antioleosidade 40g La Roche-posay,309
34,"Smartphone Moto G04 Tela 6,6'' 128gb Dual Sim Coral Motorola",2.184
35,Smart Tv Led 32 S5400af Tcl Fhd Android Tv,2.554
36,Fogão cooktop gás Itatiaia NG 4 bocas preto 127V/220V,1.161
37,Lorenzetti Acqua Ultra Duo chuveiro elétrico de parede preto-cromado,1.799
38,Impressora Multifuncional 3 Em 1 Ecotank L3250 Preta Epson Cor Preto Bivolt,1.080
39,Micro-ondas Prata 23l Efficient Me23s Electrolux 220V,1.899
40,Motorola Moto G24 128gb Grafite Dual Sim 4gb Ram Tela De 6.6 Hd+,329
41,"Smart TV LG UHD AI ThinQ 55UR871C0SA-C LCD webOS 4K 55"" 100V/220V",549
42,"Fritadeira Elétrica Sem Óleo Forno Air Fryer 12l 1800w Wap Airfry Oven Digital Com Cesto 4,5l E 2 Grelhas Com Duplo Revestimento Antiaderente Graystone, Bandeja E Porta Removível, Inox, 12 Litros 127v",105
43,Nebulizador E Inalador De Rede Vibratória Nebmesh2 G-tech Cor Branco 110V/220V,154
